date,first_dose,second_dose,region
2020-12-28,123,0,Flanders
2020-12-28,119,0,Wallonia
2020-12-28,56,0,Brussels
2020-12-29,1,0,Flanders
2020-12-30,471,0,Flanders
2020-12-30,1,0,Wallonia
2020-12-30,5,0,Brussels
2020-12-31,1,0,
2020-12-31,9,0,Flanders
2021-01-01,1,0,Flanders
2021-01-01,6,0,Wallonia
2021-01-01,1,0,Brussels
2021-01-02,0,0,Flanders
2021-01-04,2,0,Flanders
2021-01-05,1,0,
2021-01-05,42,0,Flanders
2021-01-05,861,0,Wallonia
2021-01-05,725,0,Brussels
2021-01-05,74,0,Ostbelgien
2021-01-06,19,0,
2021-01-06,917,0,Flanders
2021-01-06,1922,0,Wallonia
2021-01-06,988,0,Brussels
2021-01-06,34,0,Ostbelgien
2021-01-07,72,0,
2021-01-07,2148,0,Flanders
2021-01-07,4929,0,Wallonia
2021-01-07,990,0,Brussels
2021-01-07,47,0,Ostbelgien
2021-01-08,17,0,
2021-01-08,2996,0,Flanders
2021-01-08,4943,0,Wallonia
2021-01-08,1237,0,Brussels
2021-01-08,52,0,Ostbelgien
2021-01-09,3168,0,Flanders
2021-01-09,37,0,Wallonia
2021-01-09,2,0,Brussels
2021-01-10,350,0,Flanders
2021-01-10,39,0,Wallonia
2021-01-10,11,0,Brussels
2021-01-10,1,0,Ostbelgien
2021-01-11,58,0,
2021-01-11,3766,0,Flanders
2021-01-11,1603,0,Wallonia
2021-01-11,11,0,Brussels
2021-01-11,143,0,Ostbelgien
2021-01-12,103,0,
2021-01-12,8011,0,Flanders
2021-01-12,6401,0,Wallonia
2021-01-12,1109,0,Brussels
2021-01-12,86,0,Ostbelgien
2021-01-13,96,0,
2021-01-13,10166,0,Flanders
2021-01-13,7760,0,Wallonia
2021-01-13,3348,0,Brussels
2021-01-13,55,0,Ostbelgien
2021-01-14,99,0,
2021-01-14,14374,0,Flanders
2021-01-14,6987,0,Wallonia
2021-01-14,1720,0,Brussels
2021-01-14,10,0,Ostbelgien
2021-01-15,79,0,
2021-01-15,15924,0,Flanders
2021-01-15,6505,0,Wallonia
2021-01-15,817,0,Brussels
2021-01-15,3,0,Ostbelgien
2021-01-16,1,0,
2021-01-16,4808,0,Flanders
2021-01-16,332,0,Wallonia
2021-01-16,18,0,Brussels
2021-01-17,4,0,
2021-01-17,3286,0,Flanders
2021-01-17,7,0,Wallonia
2021-01-17,4,0,Brussels
2021-01-18,87,0,
2021-01-18,6464,109,Flanders
2021-01-18,4112,0,Wallonia
2021-01-18,126,0,Brussels
2021-01-18,135,0,Ostbelgien
2021-01-19,98,0,
2021-01-19,11434,10,Flanders
2021-01-19,6179,116,Wallonia
2021-01-19,1277,55,Brussels
2021-01-19,80,0,Ostbelgien
2021-01-20,129,0,
2021-01-20,14276,419,Flanders
2021-01-20,5579,0,Wallonia
2021-01-20,905,4,Brussels
2021-01-20,43,0,Ostbelgien
2021-01-21,148,1,
2021-01-21,19898,0,Flanders
2021-01-21,8748,0,Wallonia
2021-01-21,1047,0,Brussels
2021-01-21,268,0,Ostbelgien
2021-01-22,164,0,
2021-01-22,22287,30,Flanders
2021-01-22,6238,1,Wallonia
2021-01-22,922,1,Brussels
2021-01-22,86,0,Ostbelgien
2021-01-23,7,0,
2021-01-23,7679,7,Flanders
2021-01-23,454,0,Wallonia
2021-01-23,151,0,Brussels
2021-01-23,10,0,Ostbelgien
2021-01-24,1768,0,Flanders
2021-01-24,98,0,Wallonia
2021-01-24,4,0,Brussels
2021-01-24,5,0,Ostbelgien
2021-01-25,64,0,
2021-01-25,8988,0,Flanders
2021-01-25,1768,0,Wallonia
2021-01-25,318,0,Brussels
2021-01-25,121,0,Ostbelgien
2021-01-26,84,1,
2021-01-26,6873,44,Flanders
2021-01-26,3376,832,Wallonia
2021-01-26,500,763,Brussels
2021-01-26,137,73,Ostbelgien
2021-01-27,62,19,
2021-01-27,8731,777,Flanders
2021-01-27,3154,1673,Wallonia
2021-01-27,864,942,Brussels
2021-01-27,249,2,Ostbelgien
2021-01-28,126,59,
2021-01-28,10139,2059,Flanders
2021-01-28,4532,4451,Wallonia
2021-01-28,754,839,Brussels
2021-01-28,21,75,Ostbelgien
2021-01-29,61,26,
2021-01-29,7420,2991,Flanders
2021-01-29,3837,4837,Wallonia
2021-01-29,778,1026,Brussels
2021-01-29,14,53,Ostbelgien
2021-01-30,3,0,
2021-01-30,1376,2749,Flanders
2021-01-30,126,95,Wallonia
2021-01-30,83,30,Brussels
2021-01-30,1,0,Ostbelgien
2021-01-31,2,0,
2021-01-31,520,243,Flanders
2021-01-31,46,80,Wallonia
2021-01-31,8,4,Brussels
2021-01-31,0,1,Ostbelgien
2021-02-01,16,16,
2021-02-01,3156,3552,Flanders
2021-02-01,577,74,Wallonia
2021-02-01,178,6,Brussels
2021-02-01,1,111,Ostbelgien
2021-02-02,154,130,
2021-02-02,6079,7143,Flanders
2021-02-02,3257,5644,Wallonia
2021-02-02,544,772,Brussels
2021-02-02,139,77,Ostbelgien
2021-02-03,82,83,
2021-02-03,4675,10098,Flanders
2021-02-03,4000,7372,Wallonia
2021-02-03,1113,3071,Brussels
2021-02-03,203,12,Ostbelgien
2021-02-04,112,106,
2021-02-04,4311,13999,Flanders
2021-02-04,4532,7944,Wallonia
2021-02-04,768,1777,Brussels
2021-02-04,361,60,Ostbelgien
2021-02-05,82,65,
2021-02-05,3297,15035,Flanders
2021-02-05,3929,6532,Wallonia
2021-02-05,594,973,Brussels
2021-02-05,86,21,Ostbelgien
2021-02-06,7,5,
2021-02-06,768,4629,Flanders
2021-02-06,275,576,Wallonia
2021-02-06,196,20,Brussels
2021-02-07,1,3,
2021-02-07,283,3041,Flanders
2021-02-07,6,19,Wallonia
2021-02-07,23,0,Brussels
2021-02-08,39,20,
2021-02-08,1157,6705,Flanders
2021-02-08,822,843,Wallonia
2021-02-08,330,111,Brussels
2021-02-08,2,58,Ostbelgien
2021-02-09,108,137,
2021-02-09,3184,10421,Flanders
2021-02-09,4192,7934,Wallonia
2021-02-09,577,951,Brussels
2021-02-09,9,79,Ostbelgien
2021-02-10,82,106,
2021-02-10,2029,12288,Flanders
2021-02-10,3818,5407,Wallonia
2021-02-10,515,919,Brussels
2021-02-10,106,43,Ostbelgien
2021-02-11,218,156,
2021-02-11,1677,18397,Flanders
2021-02-11,5777,8504,Wallonia
2021-02-11,321,957,Brussels
2021-02-11,9,83,Ostbelgien
2021-02-12,280,134,
2021-02-12,1488,21556,Flanders
2021-02-12,4138,5400,Wallonia
2021-02-12,280,664,Brussels
2021-02-12,291,80,Ostbelgien
2021-02-13,5,9,
2021-02-13,279,7620,Flanders
2021-02-13,209,359,Wallonia
2021-02-13,44,41,Brussels
2021-02-13,25,10,Ostbelgien
2021-02-14,0,2,
2021-02-14,48,1739,Flanders
2021-02-14,24,95,Wallonia
2021-02-14,0,2,Brussels
2021-02-14,0,5,Ostbelgien
2021-02-15,18,66,
2021-02-15,753,9471,Flanders
2021-02-15,968,1572,Wallonia
2021-02-15,145,282,Brussels
2021-02-15,167,185,Ostbelgien
2021-02-16,27,89,
2021-02-16,1923,6673,Flanders
2021-02-16,1625,3113,Wallonia
2021-02-16,398,562,Brussels
2021-02-16,44,6,Ostbelgien
2021-02-17,31,64,
2021-02-17,4736,8388,Flanders
2021-02-17,1700,3125,Wallonia
2021-02-17,639,844,Brussels
2021-02-17,8,160,Ostbelgien
2021-02-18,46,119,
2021-02-18,7268,11110,Flanders
2021-02-18,2693,4605,Wallonia
2021-02-18,770,752,Brussels
2021-02-18,139,254,Ostbelgien
2021-02-19,109,61,
2021-02-19,13980,7973,Flanders
2021-02-19,2575,3948,Wallonia
2021-02-19,880,798,Brussels
2021-02-19,177,145,Ostbelgien
2021-02-20,12,3,
2021-02-20,4083,1306,Flanders
2021-02-20,14,138,Wallonia
2021-02-20,241,126,Brussels
2021-02-20,0,1,Ostbelgien
2021-02-21,7,1,
2021-02-21,1865,188,Flanders
2021-02-21,13,57,Wallonia
2021-02-21,4,18,Brussels
2021-02-22,40,13,
2021-02-22,8172,1727,Flanders
2021-02-22,1035,843,Wallonia
2021-02-22,468,196,Brussels
2021-02-22,4,34,Ostbelgien
2021-02-23,94,61,
2021-02-23,9910,3997,Flanders
2021-02-23,1624,3101,Wallonia
2021-02-23,535,428,Brussels
2021-02-23,1,139,Ostbelgien
2021-02-24,59,49,
2021-02-24,11372,3108,Flanders
2021-02-24,2491,3929,Wallonia
2021-02-24,892,1021,Brussels
2021-02-24,2,87,Ostbelgien
2021-02-25,61,51,
2021-02-25,17691,4268,Flanders
2021-02-25,3849,3726,Wallonia
2021-02-25,973,677,Brussels
2021-02-25,51,174,Ostbelgien
2021-02-26,90,49,
2021-02-26,18601,2578,Flanders
2021-02-26,4688,3464,Wallonia
2021-02-26,1425,579,Brussels
2021-02-26,186,12,Ostbelgien
2021-02-27,9,0,
2021-02-27,2359,603,Flanders
2021-02-27,697,106,Wallonia
2021-02-27,528,53,Brussels
2021-02-27,0,6,Ostbelgien
2021-02-28,0,2,
2021-02-28,531,231,Flanders
2021-02-28,46,3,Wallonia
2021-02-28,6,9,Brussels
2021-02-28,0,1,Ostbelgien
2021-03-01,35,24,
2021-03-01,6483,2057,Flanders
2021-03-01,3177,441,Wallonia
2021-03-01,925,183,Brussels
2021-03-01,39,1,Ostbelgien
2021-03-02,50,58,
2021-03-02,11313,3122,Flanders
2021-03-02,3701,3235,Wallonia
2021-03-02,1526,344,Brussels
2021-03-02,26,3,Ostbelgien
2021-03-03,88,41,
2021-03-03,15544,2225,Flanders
2021-03-03,5156,3161,Wallonia
2021-03-03,2912,463,Brussels
2021-03-03,25,93,Ostbelgien
2021-03-04,565,123,
2021-03-04,28421,2242,Flanders
2021-03-04,8793,5261,Wallonia
2021-03-04,2803,470,Brussels
2021-03-04,11,314,Ostbelgien
2021-03-05,769,217,
2021-03-05,23797,2046,Flanders
2021-03-05,10537,3734,Wallonia
2021-03-05,2243,226,Brussels
2021-03-05,24,146,Ostbelgien
2021-03-06,33,3,
2021-03-06,4913,146,Flanders
2021-03-06,1711,174,Wallonia
2021-03-06,979,264,Brussels
2021-03-06,0,4,Ostbelgien
2021-03-07,5,0,
2021-03-07,1159,151,Flanders
2021-03-07,122,26,Wallonia
2021-03-07,7,0,Brussels
2021-03-08,80,19,
2021-03-08,7128,792,Flanders
2021-03-08,6419,935,Wallonia
2021-03-08,1615,212,Brussels
2021-03-08,8,2,Ostbelgien
2021-03-09,61,61,
2021-03-09,12628,3699,Flanders
2021-03-09,6963,2593,Wallonia
2021-03-09,1834,620,Brussels
2021-03-09,24,50,Ostbelgien
2021-03-10,69,62,
2021-03-10,16040,5207,Flanders
2021-03-10,8416,2758,Wallonia
2021-03-10,2139,816,Brussels
2021-03-10,5,168,Ostbelgien
2021-03-11,329,71,
2021-03-11,28732,5559,Flanders
2021-03-11,11732,3482,Wallonia
2021-03-11,3024,649,Brussels
2021-03-11,29,131,Ostbelgien
2021-03-12,985,160,
2021-03-12,14894,9005,Flanders
2021-03-12,12264,3275,Wallonia
2021-03-12,2394,605,Brussels
2021-03-12,45,300,Ostbelgien
2021-03-13,87,8,
2021-03-13,4523,1930,Flanders
2021-03-13,1888,102,Wallonia
2021-03-13,1040,8,Brussels
2021-03-14,1,6,
2021-03-14,139,1259,Flanders
2021-03-14,1,4,Wallonia
2021-03-14,1,3,Brussels
2021-03-15,106,33,
2021-03-15,10127,3291,Flanders
2021-03-15,14099,993,Wallonia
2021-03-15,1434,300,Brussels
2021-03-15,2,1,Ostbelgien
2021-03-16,98,54,
2021-03-16,22189,2673,Flanders
2021-03-16,17577,1026,Wallonia
2021-03-16,2517,413,Brussels
2021-03-16,84,0,Ostbelgien
2021-03-17,65,32,
2021-03-17,16862,6723,Flanders
2021-03-17,19126,1138,Wallonia
2021-03-17,2911,819,Brussels
2021-03-17,160,0,Ostbelgien
2021-03-18,184,52,
2021-03-18,30777,13803,Flanders
2021-03-18,22348,1715,Wallonia
2021-03-18,4539,906,Brussels
2021-03-18,193,46,Ostbelgien
2021-03-19,640,79,
2021-03-19,18941,14737,Flanders
2021-03-19,25298,2633,Wallonia
2021-03-19,3422,1067,Brussels
2021-03-19,324,172,Ostbelgien
2021-03-20,114,2,
2021-03-20,6335,1246,Flanders
2021-03-20,13304,69,Wallonia
2021-03-20,705,27,Brussels
2021-03-20,328,0,Ostbelgien
2021-03-21,0,3,
2021-03-21,378,492,Flanders
2021-03-21,11,9,Wallonia
2021-03-21,3,7,Brussels
2021-03-22,73,30,
2021-03-22,7352,3756,Flanders
2021-03-22,16600,1068,Wallonia
2021-03-22,3230,266,Brussels
2021-03-22,22,2,Ostbelgien
2021-03-23,106,20,
2021-03-23,16325,3706,Flanders
2021-03-23,20551,1134,Wallonia
2021-03-23,4731,693,Brussels
2021-03-23,493,1,Ostbelgien
2021-03-24,94,47,
2021-03-24,25388,7374,Flanders
2021-03-24,19477,1409,Wallonia
2021-03-24,5536,1573,Brussels
2021-03-24,601,4,Ostbelgien
2021-03-25,159,223,
2021-03-25,31524,13166,Flanders
2021-03-25,19250,4487,Wallonia
2021-03-25,6274,1635,Brussels
2021-03-25,523,19,Ostbelgien
2021-03-26,650,642,
2021-03-26,22463,11232,Flanders
2021-03-26,20496,6048,Wallonia
2021-03-26,5669,760,Brussels
2021-03-26,603,13,Ostbelgien
2021-03-27,37,58,
2021-03-27,4058,2977,Flanders
2021-03-27,11571,625,Wallonia
2021-03-27,2145,73,Brussels
2021-03-27,562,2,Ostbelgien
2021-03-28,0,3,
2021-03-28,1386,933,Flanders
2021-03-28,0,2,Wallonia
2021-03-28,3,7,Brussels
2021-03-29,51,51,
2021-03-29,4920,2940,Flanders
2021-03-29,8265,1638,Wallonia
2021-03-29,4972,561,Brussels
2021-03-29,4,4,Ostbelgien
2021-03-30,63,15,
2021-03-30,12343,2439,Flanders
2021-03-30,8085,2365,Wallonia
2021-03-30,5237,794,Brussels
2021-03-30,545,19,Ostbelgien
2021-03-31,116,39,
2021-03-31,54375,7157,Flanders
2021-03-31,14458,3062,Wallonia
2021-03-31,3778,859,Brussels
2021-03-31,555,2,Ostbelgien
2021-04-01,128,231,
2021-04-01,56891,15927,Flanders
2021-04-01,13970,6571,Wallonia
2021-04-01,5244,1822,Brussels
2021-04-01,475,16,Ostbelgien
2021-04-02,307,944,
2021-04-02,43893,7755,Flanders
2021-04-02,14909,6933,Wallonia
2021-04-02,4298,1800,Brussels
2021-04-02,553,20,Ostbelgien
2021-04-03,26,64,
2021-04-03,1857,888,Flanders
2021-04-03,15969,371,Wallonia
2021-04-03,1012,16,Brussels
2021-04-03,539,1,Ostbelgien
2021-04-04,0,2,
2021-04-04,2,60,Flanders
2021-04-04,9,2,Wallonia
2021-04-04,1,1,Brussels
2021-04-05,17,8,
2021-04-05,107,212,Flanders
2021-04-05,10383,2104,Wallonia
2021-04-05,1429,307,Brussels
2021-04-05,11,1,Ostbelgien
2021-04-06,86,47,
2021-04-06,11322,2187,Flanders
2021-04-06,18810,6019,Wallonia
2021-04-06,6816,673,Brussels
2021-04-06,553,136,Ostbelgien
2021-04-07,71,18,
2021-04-07,13632,1973,Flanders
2021-04-07,19248,6411,Wallonia
2021-04-07,4429,1053,Brussels
2021-04-07,544,205,Ostbelgien
2021-04-08,105,104,
2021-04-08,82385,4255,Flanders
2021-04-08,21122,9356,Wallonia
2021-04-08,5209,2389,Brussels
2021-04-08,456,170,Ostbelgien
2021-04-09,183,413,
2021-04-09,89523,3622,Flanders
2021-04-09,22107,8987,Wallonia
2021-04-09,6109,1466,Brussels
2021-04-09,690,187,Ostbelgien
2021-04-10,89,6,
2021-04-10,42050,438,Flanders
2021-04-10,17003,3249,Wallonia
2021-04-10,4195,34,Brussels
2021-04-10,658,214,Ostbelgien
2021-04-11,14,0,
2021-04-11,2918,297,Flanders
2021-04-11,44,11,Wallonia
2021-04-11,613,2,Brussels
2021-04-12,64,28,
2021-04-12,18721,2300,Flanders
2021-04-12,14686,5913,Wallonia
2021-04-12,6116,703,Brussels
2021-04-12,3,3,Ostbelgien
2021-04-13,68,15,
2021-04-13,43838,1151,Flanders
2021-04-13,13163,6192,Wallonia
2021-04-13,6138,560,Brussels
2021-04-13,691,302,Ostbelgien
2021-04-14,112,46,
2021-04-14,48420,16786,Flanders
2021-04-14,20743,6641,Wallonia
2021-04-14,5798,793,Brussels
2021-04-14,636,308,Ostbelgien
2021-04-15,138,40,
2021-04-15,55529,18923,Flanders
2021-04-15,22985,5560,Wallonia
2021-04-15,5476,1720,Brussels
2021-04-15,576,282,Ostbelgien
2021-04-16,136,343,
2021-04-16,48425,8444,Flanders
2021-04-16,21740,6556,Wallonia
2021-04-16,5543,1592,Brussels
2021-04-16,595,306,Ostbelgien
2021-04-17,54,14,
2021-04-17,32665,2126,Flanders
2021-04-17,17511,3260,Wallonia
2021-04-17,1573,75,Brussels
2021-04-17,473,277,Ostbelgien
2021-04-18,1,0,
2021-04-18,5876,67,Flanders
2021-04-18,7,0,Wallonia
2021-04-18,14,0,Brussels
2021-04-19,111,45,
2021-04-19,36684,1048,Flanders
2021-04-19,13346,2383,Wallonia
2021-04-19,6406,821,Brussels
2021-04-19,6,1,Ostbelgien
2021-04-20,84,43,
2021-04-20,27101,610,Flanders
2021-04-20,13732,1371,Wallonia
2021-04-20,5766,872,Brussels
2021-04-20,284,135,Ostbelgien
2021-04-21,113,23,
2021-04-21,56415,1099,Flanders
2021-04-21,24539,2081,Wallonia
2021-04-21,5546,874,Brussels
2021-04-21,562,353,Ostbelgien
2021-04-22,121,60,
2021-04-22,58044,1528,Flanders
2021-04-22,24295,1492,Wallonia
2021-04-22,6561,2535,Brussels
2021-04-22,389,189,Ostbelgien
2021-04-23,163,266,
2021-04-23,35471,1529,Flanders
2021-04-23,23079,2032,Wallonia
2021-04-23,5490,2827,Brussels
2021-04-23,467,191,Ostbelgien
2021-04-24,62,9,
2021-04-24,24275,315,Flanders
2021-04-24,17152,1209,Wallonia
2021-04-24,2285,10,Brussels
2021-04-24,657,132,Ostbelgien
2021-04-25,43,0,
2021-04-25,4190,14,Flanders
2021-04-25,8,0,Wallonia
2021-04-25,2017,1,Brussels
2021-04-26,173,26,
2021-04-26,31085,509,Flanders
2021-04-26,19343,5236,Wallonia
2021-04-26,5285,949,Brussels
2021-04-26,3,1,Ostbelgien
2021-04-27,194,27,
2021-04-27,20274,1819,Flanders
2021-04-27,12030,11111,Wallonia
2021-04-27,5114,1440,Brussels
2021-04-27,572,13,Ostbelgien
2021-04-28,227,46,
2021-04-28,48248,2049,Flanders
2021-04-28,23012,10634,Wallonia
2021-04-28,6946,2230,Brussels
2021-04-28,672,17,Ostbelgien
2021-04-29,174,32,
2021-04-29,55975,3825,Flanders
2021-04-29,22097,11433,Wallonia
2021-04-29,6960,2885,Brussels
2021-04-29,716,22,Ostbelgien
2021-04-30,111,45,
2021-04-30,32375,4899,Flanders
2021-04-30,20035,13227,Wallonia
2021-04-30,6122,3185,Brussels
2021-04-30,809,64,Ostbelgien
2021-05-01,82,19,
2021-05-01,14974,109,Flanders
2021-05-01,19364,7186,Wallonia
2021-05-01,3776,112,Brussels
2021-05-01,969,66,Ostbelgien
2021-05-02,12,1,
2021-05-02,2926,40,Flanders
2021-05-02,0,23,Wallonia
2021-05-02,533,27,Brussels
2021-05-03,157,10,
2021-05-03,33141,5794,Flanders
2021-05-03,25285,4174,Wallonia
2021-05-03,4846,2358,Brussels
2021-05-03,1,2,Ostbelgien
2021-05-04,126,13,
2021-05-04,33232,8569,Flanders
2021-05-04,23876,4271,Wallonia
2021-05-04,5587,2647,Brussels
2021-05-04,1116,59,Ostbelgien
2021-05-05,197,70,
2021-05-05,50463,55372,Flanders
2021-05-05,19398,11898,Wallonia
2021-05-05,8953,2800,Brussels
2021-05-05,1073,99,Ostbelgien
2021-05-06,168,76,
2021-05-06,53207,54722,Flanders
2021-05-06,22209,11889,Wallonia
2021-05-06,6569,5256,Brussels
2021-05-06,927,83,Ostbelgien
2021-05-07,159,100,
2021-05-07,64221,36912,Flanders
2021-05-07,24109,11162,Wallonia
2021-05-07,5882,5305,Brussels
2021-05-07,1078,112,Ostbelgien
2021-05-08,111,19,
2021-05-08,43277,2113,Flanders
2021-05-08,27309,6379,Wallonia
2021-05-08,6898,639,Brussels
2021-05-08,1035,167,Ostbelgien
2021-05-09,51,0,
2021-05-09,3379,16,Flanders
2021-05-09,642,15,Wallonia
2021-05-09,3727,34,Brussels
2021-05-10,121,17,
2021-05-10,32861,783,Flanders
2021-05-10,36764,899,Wallonia
2021-05-10,6191,2620,Brussels
2021-05-10,7,0,Ostbelgien
2021-05-11,139,52,
2021-05-11,19576,2169,Flanders
2021-05-11,30465,3004,Wallonia
2021-05-11,5150,3713,Brussels
2021-05-11,1061,284,Ostbelgien
2021-05-12,88,54,
2021-05-12,23844,17365,Flanders
2021-05-12,34092,4036,Wallonia
2021-05-12,3680,4263,Brussels
2021-05-12,903,283,Ostbelgien
2021-05-13,85,26,
2021-05-13,12053,67606,Flanders
2021-05-13,19181,10380,Wallonia
2021-05-13,6093,1709,Brussels
2021-05-13,697,257,Ostbelgien
2021-05-14,107,48,
2021-05-14,14565,77026,Flanders
2021-05-14,19633,13000,Wallonia
2021-05-14,5212,3512,Brussels
2021-05-14,769,262,Ostbelgien
2021-05-15,52,50,
2021-05-15,7183,38868,Flanders
2021-05-15,20219,9218,Wallonia
2021-05-15,2968,3807,Brussels
2021-05-15,805,256,Ostbelgien
2021-05-16,19,10,
2021-05-16,515,2107,Flanders
2021-05-16,5,5,Wallonia
2021-05-16,1639,730,Brussels
2021-05-17,62,16,
2021-05-17,40438,6379,Flanders
2021-05-17,14776,4070,Wallonia
2021-05-17,2992,5499,Brussels
